src,data_founded,data_founder,data_hq,data_website
assets/imgs/imgs/1f0RhGN2UOlewRqYHQPIvu6DeCMvfOw7f.png,2016,"Stipe Rezic, Morten Smalby","Solin, Croatia",https://mushroomcups.com/
assets/imgs/imgs/1JSxVpwU5jQjlGOL_kRnbN-DZus46_PzI.png,2007,David Vartanian,"Los Angeles, USA",https://sayanchaga.com/
assets/imgs/imgs/14o3hzbryeeKXGpjo_l7fO-BexXcsl1AH.png, ,,,https://mudwtr.com/
assets/imgs/imgs/1rXy4Og_0yqBd5kVok297_BTEx2fgF2qw.png, ,,,https://www.funghiespresso.com/?lang=en
assets/imgs/imgs/1b6IZ8RV8LXWl_UMwcu2pzXIeUpsBO-ZU.png,2009,"Nikhil Arora, Alejandro Velez","Oakland, USA",https://backtotheroots.com/
assets/imgs/imgs/1cmfC9Z5qVv0WAxR-ukDLon9nZr2Mk0FS.png,2017,Alan Martinez,"Windsor, USA",https://forestorigins.com/
assets/imgs/imgs/1fHcBRVfDOQnh6rjBy4ZKHZyAtKA1_R8m.png,2005,Alex Winstead,"Bellingham, USA",https://cascadiamushrooms.com/
assets/imgs/imgs/1Kix6Y4Vs8_TdEWNCLoN4sGpO0C8DxeaK.png,1982,"John Garrone, Toby Garrone ","San Francisco, USA",https://farwestfungi.com/
assets/imgs/imgs/1a5KAT-CDiVSV_Lx7R9iMv7SBnc7D0DQ3.png,1983,"Joe Krawczyk, Mary Ellen Kozak","Peshtigo, USA",https://www.fieldforest.net/
assets/imgs/imgs/1aYtxDOBz63wuIRaJRt22tzekIsnZsBAT.png,2002,Adrian Ogden,"Leeds, UK",https://www.gourmetmushrooms.co.uk/
assets/imgs/imgs/1QHeafK47rhkvtaztjxo2PGJ3jEZn1WPU.png,2009,"Adam Sayner, Eric Jong","Devon, UK",https://grocycle.com/
assets/imgs/imgs/1RQPWG66yy1700PWyAJBlOevl5wfIqyB6.png, ,,,https://growmushroomscanada.ca/
assets/imgs/imgs/1VJzcIObY12jvC-LgIOikW_PJLa4KNm5W.png, ,Julia Coffey,"South Deerfield, USA",http://mycoterrafarm.com/
assets/imgs/imgs/1hchig8HN872tThyYl6g24PH0RReKUqV4.png,2015,Tobias Lavely,"Cincinnati, USA",https://www.organic-galaxy.com/
assets/imgs/imgs/1HhTE-EIrcEUtrsRj2CcRh8S2RAyIXlyC.png,2011,Matt Ratliff,"Pine River, USA",https://ready2fruitmushrooms.com/
assets/imgs/imgs/1O1twyGofnqGQZiaPYPeRkLjBGeT7V0kb.png, ,Olga Tzogas,"Rochester, USA",https://www.smugtownmushrooms.com/
assets/imgs/imgs/1m49bWnwZe-bDj0aQ_592FuSzZXY5fRJj.png, ,,"Duvall, USA",https://www.snovalleymushrooms.com/
assets/imgs/imgs/1vWmnVRC-q8OTlDVHGF4pbZ5DiWNF8FeE.png, ,Brian Callow,"Okanagan, Canada",https://www.wtfmushrooms.ca/
assets/imgs/imgs/1iiEAv61IhWnPnOD-60I8QfC0epfOyj0p.png,2017,Gerit Tolborg; Anders Ødum,"Søborg, Denmark",http://chromologics.com
assets/imgs/imgs/10W8YP146V1Tu0y9C0tBgHXUTMJVLJx5a.png,2020,Jaap Korteweg; Niko Koffeman,"Ghent, Belgium",http://thosevegancowboys.com
assets/imgs/imgs/1BxzHr6TpsXh3bQOodCZzGsaTIeWP53YR.png,2010,Jan Willem Bosman Jansen,"Amsterdam, ",http://gro-together.com
assets/imgs/imgs/1E7e0fByg_4uPreHH99Rn7-hv42LYVe4U.png,2013,"Alan Hahn, Pete Lubar","Aurora, USA",http://www.mycotechcorp.com
assets/imgs/imgs/1E3xYNhy4StdJVG_jd5ol1wfwZvrURLdD.png,2014,Rami Jadaa,"Santiago, Chile",https://fotortec.com/
assets/imgs/imgs/1K-PZx05pk6r1gHK3gwSEvswKUvna1V_R.png,1985,Magda Verfaillie,"Deinze, Belgium",http://www.mycelia.be
assets/imgs/imgs/1450_qEwzRgKBZ0RP-30GziIhgPM6IpDx.png,2016,"David Brown, Natasha Dhayagude, Tanzina Huq","Fredericton, Canada",http://chinovabioworks.com/
assets/imgs/imgs/1YG9gLI1KpVo-vuOh-nvxW8eQtOrpd0G8.png,1989,,"Kittanning, USA",http://www.sylvaninc.com
assets/imgs/imgs/11dpUUJ1JhygQQWmUCitLDxEZy58QdolM.png,2012,"Thomas Jonas, Matthew Strongin","Chicago, USA",https://www.naturesfynd.com/
assets/imgs/imgs/1_Sx0kp1099ra6YR3GtkD_yjUqs5kEOHo.png,2016,"Tyler Huggins, Justin Whiteley","Boulder, USA",https://www.meati.com/
