src,data_founded,data_founder,data_hq,data_website
imgs/146x4L8VSQiV0jKhyeJifr76wISi55fFo.png,2016,,,http://www.algaia.com
imgs/1VaMHnKK4b_eR6dkQSMS7n7SiYt_OkRFQ.png, ,,,http://www.algalimento.com/en/
imgs/1PZ15rSEpx-kFtOp3nLjzz2bYFcbEA7dN.png,2017,"Udaya Wanasundara, Ben Kelly","Saskatoon, Canada",http://www.algarithm.ca
imgs/18xOSMGoQL8GWx9nilX0dyG4UVjec4aE3.png,2015,,"Madrid, Spain",http://www.cianoalgae.com
imgs/1q9i7hr0MMx6wZa_0eF_qTiucDqC6shQi.png,1902,,"Heerlen, Netherlands",http://www.dsm.com
imgs/1cieQxb1dE3GRz2KjERYXeb97gRDqwRQ5.png, ,,"Bruck an der Leitha, Austria",https://www.ecoduna.com/en/
imgs/106lptV3LohXD1CbZdHdwNUqC7VUHgtlR.png,2002,Carlos Unamunzaga,"El Puerto de Santa María, Spain",http://www.fitoplanctonmarino.com
imgs/1202jy3lU3lwIv9c9XHRDIx1NFHYaI561.png,1933,,"Hertzeliya Pituach, Israel",https://www.iff.com/en
imgs/1g0UehAVzLHtww8lmnR0GUWetE2DPpD20.png,2012,"Fidel Delgado Ramallo, Ignacio Albert de la Rosa","Asturias, Columbia",https://neoalgae.es/
imgs/1npQcsOnEtKMetwq4REMsxIbqK_JS5wqN.png,2006,,"Abbotsford, Australia",http://www.pacificbio.com.au
imgs/1fW8Pbp7h90DOLoQYHfcAfhnC1mjwlnez.png,2009,Graeme Barnett,"Eight Miles Plain, Australia",https://qponics.com/
imgs/1cc46uMlAxPfFERsgO9BOEj3CrT-8yY81.png,2012,,"Houston, USA",https://www.qualitas-health.com/
imgs/1n_apw6dzGf3rPcsnRa8lgV_CqTVW1P_v.png,2017,Michael Mendez,"San Diego, USA",https://renewbiopharma.com/
imgs/15WrtolBiKrvMVJaT8OvBUEfUZZeDXt04.png,2014,Yossi Karta,"Netanya, Israel",http://www.seakura.co.il
imgs/1r7uPng28t-ikl3HPqv_s6hljoqq1fCZh.png, ,,,https://www.yourwell.nl/
imgs/1SsAOQ9USm2qa3LoeKn7ZQIySOY2lxP9U.png,1993,,,https://aalgo.com/
imgs/1UqJFYr_tuAkcETfuzO534wEpoTWthO1m.png,1994,,,https://www.agrimer.com/
imgs/1hWmxE1pzU0K25BG1pFaNJzhCfDQfeD5a.png, ,,,http://www.algabase.com/
imgs/1G90GJ7mZbbIM3ekIeFCPOrv35p369C7G.png,2010,Naz Bashir,"Sandwich, UK",https://algaecytes.com/
imgs/1ERoqyQ44SSCWS9iTyOGjHltDPPbt2DEd.png,2007,,"Alcobendas, Spain",http://www.algaenergy.com
imgs/146x4L8VSQiV0jKhyeJifr76wISi55fFo.png,2016,,,http://www.algaia.com
imgs/1f2cOeWP93jppfG8nwfitKRPSrtVSaZ5Z.png,2017,David D. Ramjohn,"La Grange, USA",https://algallure.com/
imgs/1kKiB9h5snn0_Juvk3J5VYXZGb1GtmUsf.png,2010,,"La Grange, USA",http://algeternal.com
imgs/18xOSMGoQL8GWx9nilX0dyG4UVjec4aE3.png,2015,,"Madrid, Spain",http://www.cianoalgae.com
imgs/1zJbSMClAav1JvZTIVJBF1nhSqu9Deha6.png,1903,,"Amsterdam, The Netherlands",http://www.corbion.com/biochemicals/personal-care/brands/algapur
imgs/1cieQxb1dE3GRz2KjERYXeb97gRDqwRQ5.png, ,,"Bruck an der Leitha, Austria",https://www.ecoduna.com/en/
imgs/106lptV3LohXD1CbZdHdwNUqC7VUHgtlR.png,2002,Carlos Unamunzaga,"El Puerto de Santa María, Spain",http://www.fitoplanctonmarino.com
imgs/1202jy3lU3lwIv9c9XHRDIx1NFHYaI561.png,1933,,"Hertzeliya Pituach, Israel",https://www.iff.com/en
imgs/1sa5w6l2-_-OsYSGsCNEanktacdHEE829.png,1988,,"Mèze, France",http://www.greensea.fr
imgs/1GKAswsORxG8ugEPpvso0MnePWY_39hxY.png,2005,,"Barcelona, Spain",http://www.mznbiotech.com
imgs/1KX8FR6y66rfitY9Qlrh_OgfJKLxGjbaH.png,1997,,"Olhão, Portugal",http://www.phytobloom.com
imgs/1g0UehAVzLHtww8lmnR0GUWetE2DPpD20.png,2012,"Fidel Delgado Ramallo, Ignacio Albert de la Rosa","Asturias, Columbia",https://neoalgae.es/
imgs/15adrqMIigAz8x5-ZRNM7BlyHLTwy-5Jb.png,2017,Scotty Schmidt,"San Pedro, USA",http://www.primaryocean.com
imgs/1r7uPng28t-ikl3HPqv_s6hljoqq1fCZh.png, ,,,https://www.yourwell.nl/
imgs/108WxIyqscsPZMPkEJiucRSH-0e0f4D-k.png,1981,,"Dartmouth, Canada",http://www.acadianseaplants.com/
imgs/1DXHy8ajQpSs1iNyjXpBGOH--5yGq1vUu.png, ,,,https://aa-biotech.hr/
imgs/1CM97RzIebSiujqbfiFrlXFJ67_AF04gI.png,1971,,"Montague Gardens, South Africa",http://www.afrikelp.com
imgs/1UqJFYr_tuAkcETfuzO534wEpoTWthO1m.png,1994,,,https://www.agrimer.com/
imgs/1nJitvkFySWzYjeE58IzZidDQ2c_T2sKF.png, ,,,https://agrisea.co.nz/
imgs/1hWmxE1pzU0K25BG1pFaNJzhCfDQfeD5a.png, ,,,http://www.algabase.com/
imgs/1ERoqyQ44SSCWS9iTyOGjHltDPPbt2DEd.png,2007,,"Alcobendas, Spain",http://www.algaenergy.com
imgs/146x4L8VSQiV0jKhyeJifr76wISi55fFo.png,2016,,,http://www.algaia.com
imgs/1aHHSp-SLyiyCpsORXwx4BiQo4eshtXQP.png,1937,Haakon Torgesen,"Kristiansund, Norway, Norway",https://www.algea.com/
imgs/1kKiB9h5snn0_Juvk3J5VYXZGb1GtmUsf.png,2010,,"La Grange, USA",http://algeternal.com
imgs/187xz0_tdaLxnHVuE5BXHYxhk89egEzZC.png, ,,"St. Louis, USA",https://www.cropscience.bayer.com/
imgs/1c0C3amC3xfhoih85k7SXK1waum_-s_lF.png,2003,,"Mumbai, India",http://www.biostadt.com
imgs/1nfvueQJSLklnVYHhF_tY8azeQvrr_fq5.png,2013,,"Tralee, Ireland",http://www.brandonbioscience.com/
imgs/1OOTjGVd3XDNXhqjDo2ZMg96bLs7vWqUt.png,1975,,"Salt Lake City, USA",http://www.cytozymeag.com
imgs/1cieQxb1dE3GRz2KjERYXeb97gRDqwRQ5.png, ,,"Bruck an der Leitha, Austria",https://www.ecoduna.com/en/
imgs/1VxRESt1Z_uLy0Ge_XEKrLMtC2uHAcYVt.png,1959,Daniel Roullier,"Saint-Malo, France",http://www.roullier.com/
imgs/19nlUyNZpR5lgsnj9W0VkZGJwzfb8oZQb.png,1984,,"Taunton, UK",http://www.GrowthTechnology.com
imgs/1HIRB2EJzBMkvEt3MdirUQQBqqneuSM5q.png,2008,,"Gilbert, USA",http://www.heliae.com
imgs/1bZTWEXt71iFsPf_fUEgxgr3ZRLIml5OA.png,1978,,"Cape Town, South Africa",https://www.kelpak.com/
imgs/1xzSDEgeEoTLxCrZRjyYz9aue8WQxZeKM.png,1972,,,http://www.goemar.com
imgs/1g0UehAVzLHtww8lmnR0GUWetE2DPpD20.png,2012,"Fidel Delgado Ramallo, Ignacio Albert de la Rosa","Asturias, Columbia",https://neoalgae.es/
imgs/1npQcsOnEtKMetwq4REMsxIbqK_JS5wqN.png,2006,,"Abbotsford, Australia",http://www.pacificbio.com.au
imgs/15adrqMIigAz8x5-ZRNM7BlyHLTwy-5Jb.png,2017,Scotty Schmidt,"San Pedro, USA",http://www.primaryocean.com
imgs/18muiQGvHTqngD3MK9H1CRx8IOBilXYIw.png, ,,,http://www.seasol.com.au
imgs/1tHGQLRtkP0omgAojCxs6RCqm_sNH5F5a.png,1983,,,http://www.thorvin.com
imgs/1hjBIhyRPRfeRIygsoPWce6l8-bYrmaOh.png,2008,Maor Sasson,"Rehovot, Israel",https://www.transalgae.com/
imgs/1G3GfGpnGRonpnUTdBB8oKvbjwEV5hLdZ.png,1996,Joe McDonald,"Worcester, Worcestershire, UK",http://www.variconaqua.com
imgs/1XnpeD2Ggtzag3-TopbW1YOig0ASTNlMm.png,1983,Stefano Urbani,"Vancouver, Canada",http://www.marinebioprocessing.com/
imgs/1rgunQO_mwDJXbHsW66J-vlZ-oTWU7ycJ.png,2017,"Sander Hazewinkel, Eugene Roebroeck","De Kwakel, Netherlands",https://lgem.nl/
imgs/16Wdq2SxhirL1rdTFvKP4C2hxtA3BHu-e.png,2008,,"Eemshaven, Netherlands",http://www.omegagreen.nl
imgs/1_tq69QjTGyh_BXUd8MS3fMIkw33648ar.png,2013,,"Geel, Belgium",http://radius.thomasmore.be
imgs/1G3GfGpnGRonpnUTdBB8oKvbjwEV5hLdZ.png,1996,Joe McDonald,"Worcester, Worcestershire, UK",http://www.variconaqua.com
