DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1978,46.63,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1979,43.8,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1980,62.82,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1981,50.52,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1982,44.67,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1983,53.79,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1984,49.33,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1985,45.49,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1986,103.74,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1987,87.21,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1988,134.18,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1989,178.19,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1990,313.59,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1991,199.95,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1992,175.78,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1993,168.17,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1994,204.66,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1995,251.84,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1996,134.63,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1997,130.52,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1998,196.48,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,1999,364.83769199131,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2000,367.055292197451,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2001,511.487207118493,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2002,450.317916,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2003,685.504409,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2004,507.038462,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2005,576.053415,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2006,758.593639,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2007,452.256551,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2008,581.074161,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2009,597.767403,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2010,552.00278139,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2011,398.96248451,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2012,408.13755957,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2013,774.69,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2014,790.81,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2015,731.20018923,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2016,722.71676719,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2017,1285.59412357,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2018,1212.04580146,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2019,1103.93558796,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2020,1248.68814753935,,,,,,0: Zero
LU1:DF_D4201(1.0),SSL02: Non residential sector,A: Annual,2021,1619,,,,,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1974,144.72,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,1975,167.55,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
